iter,L_cont,L_mom,loss
1.500000000000000000e+02,1.712163835763931274e-01,1.234346389770507812e+00,1.405562758445739746e+00
1.510000000000000000e+02,1.828918009996414185e-01,1.433615088462829590e+00,1.616506934165954590e+00
1.520000000000000000e+02,1.768260598182678223e-01,1.278541564941406250e+00,1.455367565155029297e+00
1.530000000000000000e+02,1.624717414379119873e-01,1.940108299255371094e+00,2.102580070495605469e+00
1.540000000000000000e+02,1.662712544202804565e-01,2.311420679092407227e+00,2.477691888809204102e+00
1.550000000000000000e+02,1.824753880500793457e-01,1.547762155532836914e+00,1.730237483978271484e+00
1.560000000000000000e+02,1.877087205648422241e-01,2.186022281646728516e+00,2.373730897903442383e+00
1.570000000000000000e+02,1.734869778156280518e-01,3.128407716751098633e+00,3.301894664764404297e+00
1.580000000000000000e+02,1.484062671661376953e-01,2.506309032440185547e+00,2.654715299606323242e+00
1.590000000000000000e+02,1.261926591396331787e-01,2.216106176376342773e+00,2.342298746109008789e+00
1.600000000000000000e+02,1.317754685878753662e-01,2.477255344390869141e+00,2.609030723571777344e+00
1.610000000000000000e+02,1.589661985635757446e-01,1.857124567031860352e+00,2.016090869903564453e+00
1.620000000000000000e+02,2.082185596227645874e-01,1.459695816040039062e+00,1.667914390563964844e+00
1.630000000000000000e+02,2.179137915372848511e-01,1.756325125694274902e+00,1.974238872528076172e+00
1.640000000000000000e+02,1.952921748161315918e-01,1.292909622192382812e+00,1.488201856613159180e+00
1.650000000000000000e+02,1.527709811925888062e-01,1.630930423736572266e+00,1.783701419830322266e+00
1.660000000000000000e+02,1.397346556186676025e-01,2.016573429107666016e+00,2.156308174133300781e+00
1.670000000000000000e+02,1.493374705314636230e-01,1.451592445373535156e+00,1.600929975509643555e+00
1.680000000000000000e+02,1.879892200231552124e-01,1.757288455963134766e+00,1.945277690887451172e+00
1.690000000000000000e+02,2.071730941534042358e-01,2.103117704391479492e+00,2.310290813446044922e+00
1.700000000000000000e+02,1.986062824726104736e-01,1.495715141296386719e+00,1.694321393966674805e+00
1.710000000000000000e+02,1.611953079700469971e-01,1.894629597663879395e+00,2.055824995040893555e+00
1.720000000000000000e+02,1.448122113943099976e-01,2.084244489669799805e+00,2.229056596755981445e+00
1.730000000000000000e+02,1.483096182346343994e-01,1.373684644699096680e+00,1.521994233131408691e+00
1.740000000000000000e+02,1.785160750150680542e-01,2.012121677398681641e+00,2.190637826919555664e+00
1.750000000000000000e+02,1.920092552900314331e-01,2.639184474945068359e+00,2.831193685531616211e+00
