iter,L_cont,L_mom,loss
9.600000000000000000e+01,6.855724453926086426e-01,2.612175703048706055e+00,3.297748088836669922e+00
9.700000000000000000e+01,8.070038557052612305e-01,6.352096080780029297e+00,7.159100055694580078e+00
9.800000000000000000e+01,8.395304679870605469e-01,7.460325717926025391e+00,8.299856185913085938e+00
9.900000000000000000e+01,7.829961776733398438e-01,4.752615928649902344e+00,5.535612106323242188e+00
1.000000000000000000e+02,6.689757108688354492e-01,1.715841293334960938e+00,2.384817123413085938e+00
1.010000000000000000e+02,5.408786535263061523e-01,3.164572238922119141e+00,3.705451011657714844e+00
1.020000000000000000e+02,5.053842663764953613e-01,5.526051044464111328e+00,6.031435489654541016e+00
1.030000000000000000e+02,5.410479307174682617e-01,5.145974159240722656e+00,5.687022209167480469e+00
1.040000000000000000e+02,6.549435853958129883e-01,2.708333015441894531e+00,3.363276481628417969e+00
1.050000000000000000e+02,8.703699111938476562e-01,1.584146857261657715e+00,2.454516887664794922e+00
1.060000000000000000e+02,8.722603917121887207e-01,1.910964250564575195e+00,2.783224582672119141e+00
1.070000000000000000e+02,7.468158006668090820e-01,1.298533201217651367e+00,2.045349121093750000e+00
1.080000000000000000e+02,5.790584087371826172e-01,1.772503018379211426e+00,2.351561546325683594e+00
1.090000000000000000e+02,5.343136191368103027e-01,2.293884038925170898e+00,2.828197717666625977e+00
1.100000000000000000e+02,5.655667781829833984e-01,1.607467889785766602e+00,2.173034667968750000e+00
1.110000000000000000e+02,7.702017426490783691e-01,2.754328012466430664e+00,3.524529695510864258e+00
1.120000000000000000e+02,9.569141864776611328e-01,4.958028793334960938e+00,5.914942741394042969e+00
1.130000000000000000e+02,1.021427989006042480e+00,4.421170711517333984e+00,5.442598819732666016e+00
1.140000000000000000e+02,9.340478181838989258e-01,2.130082845687866211e+00,3.064130783081054688e+00
1.150000000000000000e+02,7.232381701469421387e-01,2.177227020263671875e+00,2.900465250015258789e+00
1.160000000000000000e+02,6.130537390708923340e-01,3.958778858184814453e+00,4.571832656860351562e+00
1.170000000000000000e+02,5.800104141235351562e-01,3.991184234619140625e+00,4.571194648742675781e+00
1.180000000000000000e+02,6.046007275581359863e-01,2.235533952713012695e+00,2.840134620666503906e+00
1.190000000000000000e+02,6.847022175788879395e-01,1.112201690673828125e+00,1.796903848648071289e+00
1.200000000000000000e+02,6.630220413208007812e-01,1.511598587036132812e+00,2.174620628356933594e+00
1.210000000000000000e+02,5.942668914794921875e-01,1.398387908935546875e+00,1.992654800415039062e+00
1.220000000000000000e+02,5.153161883354187012e-01,1.629602909088134766e+00,2.144919157028198242e+00
1.230000000000000000e+02,5.379607677459716797e-01,1.418055057525634766e+00,1.956015825271606445e+00
1.240000000000000000e+02,6.512904167175292969e-01,1.186228513717651367e+00,1.837518930435180664e+00
1.250000000000000000e+02,6.982096433639526367e-01,1.264131307601928711e+00,1.962340950965881348e+00
1.260000000000000000e+02,6.414898633956909180e-01,1.169551968574523926e+00,1.811041831970214844e+00
1.270000000000000000e+02,5.972107648849487305e-01,1.156506299972534180e+00,1.753717064857482910e+00
1.280000000000000000e+02,5.987324118614196777e-01,1.093537211418151855e+00,1.692269563674926758e+00
1.290000000000000000e+02,5.507072806358337402e-01,1.132884383201599121e+00,1.683591604232788086e+00
1.300000000000000000e+02,5.256303548812866211e-01,1.266946911811828613e+00,1.792577266693115234e+00
1.310000000000000000e+02,5.708674788475036621e-01,1.042799472808837891e+00,1.613667011260986328e+00
1.320000000000000000e+02,6.674532294273376465e-01,1.508518576622009277e+00,2.175971746444702148e+00
1.330000000000000000e+02,6.743382215499877930e-01,1.629135131835937500e+00,2.303473472595214844e+00
1.340000000000000000e+02,5.958368778228759766e-01,1.002645254135131836e+00,1.598482131958007812e+00
1.350000000000000000e+02,4.552425444126129150e-01,2.460512876510620117e+00,2.915755510330200195e+00
1.360000000000000000e+02,4.087084531784057617e-01,3.974620580673217773e+00,4.383328914642333984e+00
1.370000000000000000e+02,4.112374186515808105e-01,3.316406726837158203e+00,3.727644205093383789e+00
1.380000000000000000e+02,4.595523178577423096e-01,1.487819910049438477e+00,1.947372198104858398e+00
1.390000000000000000e+02,5.968826413154602051e-01,2.299588680267333984e+00,2.896471261978149414e+00
1.400000000000000000e+02,7.146338820457458496e-01,4.898329257965087891e+00,5.612963199615478516e+00
1.410000000000000000e+02,7.546861767768859863e-01,5.060023784637451172e+00,5.814710140228271484e+00
1.420000000000000000e+02,7.008728981018066406e-01,2.739810466766357422e+00,3.440683364868164062e+00
